Id,SalePrice
1461,125650.83710162803
1462,151539.1573050825
1463,177226.60657676074
1464,181131.99653140228
1465,200900.7705756029
1466,185591.93709325945
1467,163871.60607198492
1468,176559.89514572005
1469,185264.56996811143
1470,125187.38564400058
1471,198489.56044670256
1472,95993.51474260757
1473,95521.6430313726
1474,156769.27214522334
1475,151546.04152396563
1476,381081.0772945202
1477,241298.5767820809
1478,310363.9572641339
1479,276338.5553102783
1480,452423.63633663475
1481,298514.2502643946
1482,212522.47066561985
1483,187661.70462478886
1484,177435.97603943793
1485,173209.29778621843
1486,196598.85208655836
1487,311693.356015754
1488,241363.73053548305
1489,204475.61340552362
1490,190496.86318631817
1491,188935.67383693805
1492,99484.02326911037
1493,169731.32400674003
1494,303491.4320646145
1495,294206.6867641516
1496,223909.29266555174
1497,185219.13482352506
1498,154664.19551315476
1499,153810.65056514257
1500,155074.55140810236
1501,171741.12627243486
1502,166360.3087168596
1503,282451.07515260065
1504,226901.04699749427
1505,217522.56304393744
1506,173500.27143744956
1507,215551.72703910738
1508,193591.9997576337
1509,160438.85933238937
1510,151826.06009102683
1511,153124.38004037383
1512,165938.60819312127
1513,143572.46860298447
1514,156735.39094942628
1515,169021.25138654347
1516,159048.4762180463
1517,153191.794642516
1518,128708.35283837093
1519,225417.77734470792
1520,139354.1365849883
1521,143376.5005295446
1522,158346.04339495383
1523,116008.97286778125
1524,119922.84860541546
1525,125877.42926804493
1526,129989.6086322964
1527,97956.69518657915
1528,132391.6916651652
1529,143628.95914155076
1530,166905.49404568758
1531,114577.28710697115
1532,107552.52064095103
1533,141056.9217235248
1534,118465.11900612261
1535,151387.95630834467
1536,114810.16914847058
1537,66168.29843250869
1538,177682.9135924211
1539,238112.53155691194
1540,105605.36559887603
1541,139754.59615249117
1542,137721.1828971276
1543,211696.27482898196
1544,91218.40657161242
1545,102474.68849781866
1546,115850.08702080829
1547,131638.83297276936
1548,128379.83242042718
1549,105730.95532304762
1550,140205.4069334529
1551,115773.79449723077
1552,128527.69558733584
1553,137117.24216340773
